feature-extraction,clustering-algo,run#,state,AMI,ARI,NMI
tf-idf,k-means,1,2,0.23004844162395982,0.16426856606932938,0.23007290974570047
tf-idf,k-means,2,4,0.22989510177642125,0.16406198588664414,0.2299195763942251
tf-idf,k-means,3,6,0.23079458501521521,0.1652900309963893,0.23081902089839398
tf-idf,k-means,4,8,0.30143780870444803,0.23279044437946364,0.30145785841639333
tf-idf,k-means,5,10,0.3569187948282708,0.26638229700811006,0.3569373186153835
tf-idf,k-means,6,12,0.3384433853862014,0.23605482797638758,0.3384648962375731
tf-idf,k-means,7,14,0.23620789924204164,0.12185594647671653,0.23623376625886786
tf-idf,k-means,8,16,0.23510733951830512,0.12056701188340628,0.2351332615106891
tf-idf,k-means,9,18,0.23012533312901742,0.16442162319335346,0.23014979690389495
tf-idf,k-means,10,20,0.23510403871118335,0.12052720860973823,0.23512996100668845
tf-idf,k-means,11,22,0.23049722006423903,0.16491372707570673,0.23052166930585372
tf-idf,k-means,12,24,0.230448740411323,0.1648713172177223,0.2304731898210037
tf-idf,k-means,13,26,0.22993738408630307,0.164112411162261,0.22996185711091552
tf-idf,k-means,14,28,0.23503500786118245,0.12018600216221768,0.23506093955563448
tf-idf,k-means,15,30,0.23505458604881319,0.12021382545549832,0.23508051637411628
tf-idf,k-means,16,32,0.24624833052916387,0.1376472686712753,0.24627205983144654
tf-idf,k-means,17,34,0.23039731091876395,0.16480513393928775,0.23042176362359737
tf-idf,k-means,18,36,0.2299082971451619,0.16407324700658088,0.22993277150655553
tf-idf,k-means,19,38,0.2290039284676764,0.16288818959025272,0.22902843877677442
tf-idf,k-means,20,40,0.2299343719996492,0.1640738579710471,0.229958845669846
